CLDR,epd - Meaning,epd - Note,epd - Unicode,epd - Additional informations
flag-mexico,"The flag for Mexico, which may show as the letters MX on some platforms.",The Flag: Mexico emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇽 Regional Indicator Symbol Letter X.These display as a single emoji on supported platforms.,Flag: Mexico was added to Emoji 1.0 in 2015.,
flag-micronesia,"The flag for Micronesia, which may show as the letters FM on some platforms.",The Flag: Micronesia emoji is a flag sequence combining 🇫 Regional Indicator Symbol Letter F and 🇲 Regional Indicator Symbol Letter M.These display as a single emoji on supported platforms.,Flag: Micronesia was added to Emoji 1.0 in 2015.,
flag-moldova,"The flag for Moldova, which may show as the letters MD on some platforms.",The Flag: Moldova emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇩 Regional Indicator Symbol Letter D.These display as a single emoji on supported platforms.,Flag: Moldova was added to Emoji 1.0 in 2015.,
flag-monaco,"The flag for Monaco, which may show as the letters MC on some platforms.",The Flag: Monaco emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇨 Regional Indicator Symbol Letter C.These display as a single emoji on supported platforms.,Flag: Monaco was added to Emoji 1.0 in 2015.,
flag-mongolia,"The flag for Mongolia, which may show as the letters MN on some platforms.",The Flag: Mongolia emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇳 Regional Indicator Symbol Letter N.These display as a single emoji on supported platforms.,Flag: Mongolia was added to Emoji 1.0 in 2015.,
flag-montenegro,"The flag for Montenegro, which may show as the letters ME on some platforms",The Flag: Montenegro emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇪 Regional Indicator Symbol Letter E.These display as a single emoji on supported platforms.,Flag: Montenegro was added to Emoji 1.0 in 2015.,
flag-montserrat,"The flag for Montserrat, which may show as the letters MS on some platforms.",The Flag: Montserrat emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇸 Regional Indicator Symbol Letter S.These display as a single emoji on supported platforms.,Flag: Montserrat was added to Emoji 1.0 in 2015.,
flag-morocco,"The flag for Morocco, which may show as the letters MA on some platforms.",The Flag: Morocco emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇦 Regional Indicator Symbol Letter A.These display as a single emoji on supported platforms.,Flag: Morocco was added to Emoji 1.0 in 2015.,
flag-mozambique,"The flag for Mozambique, which may show as the letters MZ on some platforms.",The Flag: Mozambique emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇿 Regional Indicator Symbol Letter Z.These display as a single emoji on supported platforms.,Flag: Mozambique was added to Emoji 1.0 in 2015.,
flag-myanmar-burma,"The flag for Myanmar, which may show as the letters MM on some platforms.",The Flag: Myanmar (Burma) emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M.These display as a single emoji on supported platforms.,Flag: Myanmar (Burma) was added to Emoji 1.0 in 2015.,
flag-namibia,"The flag for Namibia, which may show as the letters NA on some platforms.",The Flag: Namibia emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇦 Regional Indicator Symbol Letter A.These display as a single emoji on supported platforms.,Flag: Namibia was added to Emoji 1.0 in 2015.,
flag-nauru,"The flag for Nauru, which may show as the letters NR on some platforms.",The Flag: Nauru emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇷 Regional Indicator Symbol Letter R.These display as a single emoji on supported platforms.,Flag: Nauru was added to Emoji 1.0 in 2015.,
flag-nepal,"The flag for Nepal, which may show as the letters NP on some platforms.",The Flag: Nepal emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇵 Regional Indicator Symbol Letter P.These display as a single emoji on supported platforms.,Flag: Nepal was added to Emoji 1.0 in 2015.,
flag-netherlands,"The flag for Netherlands, which may show as the letters NL on some platforms.",The Flag: Netherlands emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇱 Regional Indicator Symbol Letter L.These display as a single emoji on supported platforms.,Flag: Netherlands was added to Emoji 1.0 in 2015.,
flag-new-caledonia,"The flag for New Caledonia, which may show as the letters NC on some platforms.",The Flag: New Caledonia emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇨 Regional Indicator Symbol Letter C.These display as a single emoji on supported platforms.,Flag: New Caledonia was added to Emoji 1.0 in 2015.,
flag-new-zealand,"The flag for New Zealand, which may show as the letters NZ on some platforms.",The Flag: New Zealand emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇿 Regional Indicator Symbol Letter Z.These display as a single emoji on supported platforms.,Flag: New Zealand was added to Emoji 1.0 in 2015.,
flag-nicaragua,"The flag for Nicaragua, which may show as the letters NI on some platforms.",The Flag: Nicaragua emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇮 Regional Indicator Symbol Letter I.These display as a single emoji on supported platforms.,Flag: Nicaragua was added to Emoji 1.0 in 2015.,
flag-niger,"The flag for Niger, which may show as the letters NE on some platforms.",The Flag: Niger emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇪 Regional Indicator Symbol Letter E.These display as a single emoji on supported platforms.,Flag: Niger was added to Emoji 1.0 in 2015.,
flag-nigeria,"The flag for Nigeria, which may show as the letters NG on some platforms.",The Flag: Nigeria emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇬 Regional Indicator Symbol Letter G.These display as a single emoji on supported platforms.,Flag: Nigeria was added to Emoji 1.0 in 2015.,
flag-niue,"The flag for Niue, which may show as the letters NU on some platforms.",The Flag: Niue emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇺 Regional Indicator Symbol Letter U.These display as a single emoji on supported platforms.,Flag: Niue was added to Emoji 1.0 in 2015.,
flag-norfolk-island,"The flag for Norfolk Island, which may show as the letters NF on some platforms.",The Flag: Norfolk Island emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇫 Regional Indicator Symbol Letter F.These display as a single emoji on supported platforms.,Flag: Norfolk Island was added to Emoji 1.0 in 2015.,
flag-north-korea,"The flag for North Korea, which may show as the letters KP on some platforms.",The Flag: North Korea emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇵 Regional Indicator Symbol Letter P.These display as a single emoji on supported platforms.,Flag: North Korea was added to Emoji 1.0 in 2015.,
flag-north-macedonia,"The flag for North Macedonia (until 2019: Macedonia), which may show as the letters MK on some platforms. Displays a stylized yellow sun on a red background, with eight rays extending from the center to each edge.",The Flag: North Macedonia emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇰 Regional Indicator Symbol Letter K.These display as a single emoji on supported platforms.,Flag: North Macedonia was added to Emoji 1.0 in 2015.,
flag-northern-mariana-islands,"The flag for Northern Mariana Islands, which may show as the letters MP on some platforms.",The Flag: Northern Mariana Islands emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇵 Regional Indicator Symbol Letter P.These display as a single emoji on supported platforms.,Flag: Northern Mariana Islands was added to Emoji 1.0 in 2015.,
flag-norway,"The flag for Norway, which may show as the letters NO on some platforms.",The Flag: Norway emoji is a flag sequence combining 🇳 Regional Indicator Symbol Letter N and 🇴 Regional Indicator Symbol Letter O.These display as a single emoji on supported platforms.,Flag: Norway was added to Emoji 1.0 in 2015.,
flag-oman,"The flag for Oman, which may show as the letters OM on some platforms.",The Flag: Oman emoji is a flag sequence combining 🇴 Regional Indicator Symbol Letter O and 🇲 Regional Indicator Symbol Letter M.These display as a single emoji on supported platforms.,Flag: Oman was added to Emoji 1.0 in 2015.,
flag-pakistan,"The flag for Pakistan, which may show as the letters PK on some platforms.",The Flag: Pakistan emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇰 Regional Indicator Symbol Letter K.These display as a single emoji on supported platforms.,Flag: Pakistan was added to Emoji 1.0 in 2015.,
flag-palau,"The flag for Palau, which may show as the letters PW on some platforms.",The Flag: Palau emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇼 Regional Indicator Symbol Letter W.These display as a single emoji on supported platforms.,Flag: Palau was added to Emoji 1.0 in 2015.,
flag-palestinian-territories,,The Flag: Palestinian Territories emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇸 Regional Indicator Symbol Letter S.These display as a single emoji on supported platforms.,Flag: Palestinian Territories was added to Emoji 1.0 in 2015.,
flag-panama,"The flag for Panama, which may show as the letters PA on some platforms.",The Flag: Panama emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇦 Regional Indicator Symbol Letter A.These display as a single emoji on supported platforms.,Flag: Panama was added to Emoji 1.0 in 2015.,
flag-papua-new-guinea,"The flag for Papua New Guinea, which may show as the letters PG on some platforms.",The Flag: Papua New Guinea emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇬 Regional Indicator Symbol Letter G.These display as a single emoji on supported platforms.,Flag: Papua New Guinea was added to Emoji 1.0 in 2015.,
flag-paraguay,"The flag for Paraguay, which may show as the letters PY on some platforms.",The Flag: Paraguay emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇾 Regional Indicator Symbol Letter Y.These display as a single emoji on supported platforms.,Flag: Paraguay was added to Emoji 1.0 in 2015.,
flag-peru,"The flag for Peru, which may show as the letters PE on some platforms.",The Flag: Peru emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇪 Regional Indicator Symbol Letter E.These display as a single emoji on supported platforms.,Flag: Peru was added to Emoji 1.0 in 2015.,
flag-philippines,"The flag for Philippines, which may show as the letters PH on some platforms.",The Flag: Philippines emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇭 Regional Indicator Symbol Letter H.These display as a single emoji on supported platforms.,Flag: Philippines was added to Emoji 1.0 in 2015.,
flag-pitcairn-islands,,The Flag: Pitcairn Islands emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇳 Regional Indicator Symbol Letter N.These display as a single emoji on supported platforms.,Flag: Pitcairn Islands was added to Emoji 1.0 in 2015.,
